subject,run,condition,window_index,window_start_sec,window_end_sec,window_center_sec,start_sample,stop_sample,n_samples,feature_name,feature_unit,posterior_alpha_mean_psd
1,1,baseline_eyes_open,0,0.0,2.0,1.0,0,320,320,posterior_alpha_mean_psd,V^2/Hz,7.309492750606161e-11
1,1,baseline_eyes_open,1,1.0,3.0,2.0,160,480,320,posterior_alpha_mean_psd,V^2/Hz,2.842361454802004e-11
1,1,baseline_eyes_open,2,2.0,4.0,3.0,320,640,320,posterior_alpha_mean_psd,V^2/Hz,2.8152674949028582e-11
1,1,baseline_eyes_open,3,3.0,5.0,4.0,480,800,320,posterior_alpha_mean_psd,V^2/Hz,1.590229267465739e-11
1,1,baseline_eyes_open,4,4.0,6.0,5.0,640,960,320,posterior_alpha_mean_psd,V^2/Hz,2.1689787465987362e-11
1,1,baseline_eyes_open,5,5.0,7.0,6.0,800,1120,320,posterior_alpha_mean_psd,V^2/Hz,2.6266339346213654e-11
1,1,baseline_eyes_open,6,6.0,8.0,7.0,960,1280,320,posterior_alpha_mean_psd,V^2/Hz,3.1123521575349794e-11
1,1,baseline_eyes_open,7,7.0,9.0,8.0,1120,1440,320,posterior_alpha_mean_psd,V^2/Hz,2.7531517007287995e-11
1,1,baseline_eyes_open,8,8.0,10.0,9.0,1280,1600,320,posterior_alpha_mean_psd,V^2/Hz,2.4401089793044623e-11
1,1,baseline_eyes_open,9,9.0,11.0,10.0,1440,1760,320,posterior_alpha_mean_psd,V^2/Hz,3.217606603905354e-11
1,1,baseline_eyes_open,10,10.0,12.0,11.0,1600,1920,320,posterior_alpha_mean_psd,V^2/Hz,2.8729685946630585e-11
1,1,baseline_eyes_open,11,11.0,13.0,12.0,1760,2080,320,posterior_alpha_mean_psd,V^2/Hz,3.913282319334165e-11
1,1,baseline_eyes_open,12,12.0,14.0,13.0,1920,2240,320,posterior_alpha_mean_psd,V^2/Hz,3.113363468015894e-11
1,1,baseline_eyes_open,13,13.0,15.0,14.0,2080,2400,320,posterior_alpha_mean_psd,V^2/Hz,6.312923015250507e-11
1,1,baseline_eyes_open,14,14.0,16.0,15.0,2240,2560,320,posterior_alpha_mean_psd,V^2/Hz,3.252209914943961e-11
1,1,baseline_eyes_open,15,15.0,17.0,16.0,2400,2720,320,posterior_alpha_mean_psd,V^2/Hz,4.6172086432683046e-11
1,1,baseline_eyes_open,16,16.0,18.0,17.0,2560,2880,320,posterior_alpha_mean_psd,V^2/Hz,5.304498565775396e-11
1,1,baseline_eyes_open,17,17.0,19.0,18.0,2720,3040,320,posterior_alpha_mean_psd,V^2/Hz,3.8094308589888325e-11
1,1,baseline_eyes_open,18,18.0,20.0,19.0,2880,3200,320,posterior_alpha_mean_psd,V^2/Hz,4.6590219490905115e-11
1,1,baseline_eyes_open,19,19.0,21.0,20.0,3040,3360,320,posterior_alpha_mean_psd,V^2/Hz,4.507227917455705e-11
1,1,baseline_eyes_open,20,20.0,22.0,21.0,3200,3520,320,posterior_alpha_mean_psd,V^2/Hz,3.57952984169865e-11
1,1,baseline_eyes_open,21,21.0,23.0,22.0,3360,3680,320,posterior_alpha_mean_psd,V^2/Hz,2.839834363181843e-11
1,1,baseline_eyes_open,22,22.0,24.0,23.0,3520,3840,320,posterior_alpha_mean_psd,V^2/Hz,3.5028042079973393e-11
1,1,baseline_eyes_open,23,23.0,25.0,24.0,3680,4000,320,posterior_alpha_mean_psd,V^2/Hz,3.958809706351897e-11
1,1,baseline_eyes_open,24,24.0,26.0,25.0,3840,4160,320,posterior_alpha_mean_psd,V^2/Hz,2.2324590666677288e-10
1,1,baseline_eyes_open,25,25.0,27.0,26.0,4000,4320,320,posterior_alpha_mean_psd,V^2/Hz,2.416687051052461e-11
1,1,baseline_eyes_open,26,26.0,28.0,27.0,4160,4480,320,posterior_alpha_mean_psd,V^2/Hz,5.6201174431403715e-11
1,1,baseline_eyes_open,27,27.0,29.0,28.0,4320,4640,320,posterior_alpha_mean_psd,V^2/Hz,4.971198902653748e-11
1,1,baseline_eyes_open,28,28.0,30.0,29.0,4480,4800,320,posterior_alpha_mean_psd,V^2/Hz,7.183756823186374e-11
1,1,baseline_eyes_open,29,29.0,31.0,30.0,4640,4960,320,posterior_alpha_mean_psd,V^2/Hz,4.0424785399486726e-11
1,1,baseline_eyes_open,30,30.0,32.0,31.0,4800,5120,320,posterior_alpha_mean_psd,V^2/Hz,4.227431001468556e-11
1,1,baseline_eyes_open,31,31.0,33.0,32.0,4960,5280,320,posterior_alpha_mean_psd,V^2/Hz,2.7761397495850796e-11
1,1,baseline_eyes_open,32,32.0,34.0,33.0,5120,5440,320,posterior_alpha_mean_psd,V^2/Hz,3.996241005951425e-11
1,1,baseline_eyes_open,33,33.0,35.0,34.0,5280,5600,320,posterior_alpha_mean_psd,V^2/Hz,2.265024619992237e-11
1,1,baseline_eyes_open,34,34.0,36.0,35.0,5440,5760,320,posterior_alpha_mean_psd,V^2/Hz,2.5048212188368973e-11
1,1,baseline_eyes_open,35,35.0,37.0,36.0,5600,5920,320,posterior_alpha_mean_psd,V^2/Hz,2.904383151105703e-11
1,1,baseline_eyes_open,36,36.0,38.0,37.0,5760,6080,320,posterior_alpha_mean_psd,V^2/Hz,3.194172801537068e-11
1,1,baseline_eyes_open,37,37.0,39.0,38.0,5920,6240,320,posterior_alpha_mean_psd,V^2/Hz,4.85045374499518e-11
1,1,baseline_eyes_open,38,38.0,40.0,39.0,6080,6400,320,posterior_alpha_mean_psd,V^2/Hz,8.266677780804465e-11
1,1,baseline_eyes_open,39,39.0,41.0,40.0,6240,6560,320,posterior_alpha_mean_psd,V^2/Hz,4.228726778557154e-11
1,1,baseline_eyes_open,40,40.0,42.0,41.0,6400,6720,320,posterior_alpha_mean_psd,V^2/Hz,7.570607472829475e-11
1,1,baseline_eyes_open,41,41.0,43.0,42.0,6560,6880,320,posterior_alpha_mean_psd,V^2/Hz,4.013248301385884e-11
1,1,baseline_eyes_open,42,42.0,44.0,43.0,6720,7040,320,posterior_alpha_mean_psd,V^2/Hz,4.425320605324195e-11
1,1,baseline_eyes_open,43,43.0,45.0,44.0,6880,7200,320,posterior_alpha_mean_psd,V^2/Hz,4.713757801700253e-11
1,1,baseline_eyes_open,44,44.0,46.0,45.0,7040,7360,320,posterior_alpha_mean_psd,V^2/Hz,6.55935563093422e-11
1,1,baseline_eyes_open,45,45.0,47.0,46.0,7200,7520,320,posterior_alpha_mean_psd,V^2/Hz,8.604468211491684e-11
1,1,baseline_eyes_open,46,46.0,48.0,47.0,7360,7680,320,posterior_alpha_mean_psd,V^2/Hz,8.304990547928864e-11
1,1,baseline_eyes_open,47,47.0,49.0,48.0,7520,7840,320,posterior_alpha_mean_psd,V^2/Hz,6.617174811957063e-11
1,1,baseline_eyes_open,48,48.0,50.0,49.0,7680,8000,320,posterior_alpha_mean_psd,V^2/Hz,4.2721571244968043e-11
1,1,baseline_eyes_open,49,49.0,51.0,50.0,7840,8160,320,posterior_alpha_mean_psd,V^2/Hz,4.194756380159449e-11
1,1,baseline_eyes_open,50,50.0,52.0,51.0,8000,8320,320,posterior_alpha_mean_psd,V^2/Hz,2.7317217286231865e-11
1,1,baseline_eyes_open,51,51.0,53.0,52.0,8160,8480,320,posterior_alpha_mean_psd,V^2/Hz,2.6730030422966533e-11
1,1,baseline_eyes_open,52,52.0,54.0,53.0,8320,8640,320,posterior_alpha_mean_psd,V^2/Hz,1.7898612093770963e-11
1,1,baseline_eyes_open,53,53.0,55.0,54.0,8480,8800,320,posterior_alpha_mean_psd,V^2/Hz,2.3450505677582405e-11
1,1,baseline_eyes_open,54,54.0,56.0,55.0,8640,8960,320,posterior_alpha_mean_psd,V^2/Hz,3.009575341874941e-11
1,1,baseline_eyes_open,55,55.0,57.0,56.0,8800,9120,320,posterior_alpha_mean_psd,V^2/Hz,4.7055729043029044e-11
1,1,baseline_eyes_open,56,56.0,58.0,57.0,8960,9280,320,posterior_alpha_mean_psd,V^2/Hz,4.783569606609416e-11
1,1,baseline_eyes_open,57,57.0,59.0,58.0,9120,9440,320,posterior_alpha_mean_psd,V^2/Hz,4.811581427883332e-11
1,1,baseline_eyes_open,58,58.0,60.0,59.0,9280,9600,320,posterior_alpha_mean_psd,V^2/Hz,5.843671409417565e-11
1,2,baseline_eyes_closed,0,0.0,2.0,1.0,0,320,320,posterior_alpha_mean_psd,V^2/Hz,4.2916755355036793e-10
1,2,baseline_eyes_closed,1,1.0,3.0,2.0,160,480,320,posterior_alpha_mean_psd,V^2/Hz,5.876672829757239e-10
1,2,baseline_eyes_closed,2,2.0,4.0,3.0,320,640,320,posterior_alpha_mean_psd,V^2/Hz,2.5595067105345723e-10
1,2,baseline_eyes_closed,3,3.0,5.0,4.0,480,800,320,posterior_alpha_mean_psd,V^2/Hz,3.621692447822475e-10
1,2,baseline_eyes_closed,4,4.0,6.0,5.0,640,960,320,posterior_alpha_mean_psd,V^2/Hz,1.604935123900181e-10
1,2,baseline_eyes_closed,5,5.0,7.0,6.0,800,1120,320,posterior_alpha_mean_psd,V^2/Hz,2.1305056869483822e-10
