subject,configuration_id,run,condition,n_windows,window_length_sec,step_size_sec,outer_window_overlap_fraction,welch_segment_count,feature_name,feature_unit,median,q25,q75,iqr,iqr_over_median,mean,standard_deviation_population,minimum,q05,q95,maximum
1,win-2s_step-1s,1,baseline_eyes_open,59,2.0,1.0,0.5,3,posterior_alpha_mean_psd,V^2/Hz,3.996241005951425e-11,2.8410979089919236e-11,4.8310175864392563e-11,1.9899196774473328e-11,0.4979478651272117,4.4891803705479726e-11,2.887801883532025e-11,1.590229267465739e-11,2.2554200326528872e-11,8.270509057516904e-11,2.2324590666677288e-10
1,win-2s_step-1s,2,baseline_eyes_closed,59,2.0,1.0,0.5,3,posterior_alpha_mean_psd,V^2/Hz,5.038257003548005e-10,3.6693174687516035e-10,7.152556135673336e-10,3.4832386669217325e-10,0.691357877231906,5.49751296229116e-10,2.52335549093748e-10,1.604935123900181e-10,2.365528862351009e-10,1.0286219546213662e-09,1.266098892772713e-09
1,win-1s_step-1s,1,baseline_eyes_open,60,1.0,1.0,0.0,1,posterior_alpha_mean_psd,V^2/Hz,3.428994952974755e-11,2.0914977148786023e-11,4.799031777042204e-11,2.7075340621636018e-11,0.7895998971403371,4.114715322830382e-11,2.8934218885535373e-11,8.453288235414137e-12,1.5295227325540655e-11,8.786744235422055e-11,1.6880811861843595e-10
1,win-1s_step-1s,2,baseline_eyes_closed,60,1.0,1.0,0.0,1,posterior_alpha_mean_psd,V^2/Hz,4.449659200542434e-10,2.901314392036778e-10,6.655567271691467e-10,3.7542528796546886e-10,0.8437169478500799,5.19113142767695e-10,3.168143047135598e-10,1.1228883135703821e-10,1.875827872531502e-10,1.0713364524346323e-09,1.8243320471796329e-09
1,win-4s_step-1s,1,baseline_eyes_open,57,4.0,1.0,0.75,7,posterior_alpha_mean_psd,V^2/Hz,4.2261100242696245e-11,3.1978507436054793e-11,5.3726561157947175e-11,2.1748053721892382e-11,0.5146116309560819,4.6182289390663036e-11,2.1291050606663393e-11,2.2335253381064243e-11,2.3995063228554583e-11,7.939488816591925e-11,1.2185509281185636e-10
1,win-4s_step-1s,2,baseline_eyes_closed,57,4.0,1.0,0.75,7,posterior_alpha_mean_psd,V^2/Hz,5.268976032721633e-10,4.131394205700344e-10,7.266630173039552e-10,3.135235967339208e-10,0.5950370523359043,5.519313918038859e-10,1.9167732792920036e-10,2.1223751483078105e-10,2.5968281292203923e-10,8.524908356677165e-10,9.876898863622713e-10
1,win-2s_step-0p5s,1,baseline_eyes_open,117,2.0,0.5,0.75,3,posterior_alpha_mean_psd,V^2/Hz,4.013248301385884e-11,2.933942658297155e-11,5.1353129235584476e-11,2.2013702652612928e-11,0.5485258075113617,4.724249995571964e-11,3.291366956892899e-11,1.590229267465739e-11,2.1481467083261832e-11,8.053219224561107e-11,2.2942249881577684e-10
1,win-2s_step-0p5s,2,baseline_eyes_closed,117,2.0,0.5,0.75,3,posterior_alpha_mean_psd,V^2/Hz,5.038257003548005e-10,3.7649479173747545e-10,7.242576880369522e-10,3.4776289629947677e-10,0.6902444556809582,5.632141463080084e-10,2.580649208391471e-10,1.604935123900181e-10,2.514714665331256e-10,1.0734912823259073e-09,1.2770500085323927e-09
1,win-2s_step-2s,1,baseline_eyes_open,30,2.0,2.0,0.0,3,posterior_alpha_mean_psd,V^2/Hz,4.11183600370999e-11,3.0352695457899504e-11,5.7877829178482666e-11,2.752513372058316e-11,0.6694122454238941,5.024641203005008e-11,3.7052964274691336e-11,1.7898612093770963e-11,2.290987351316313e-11,8.287749802722884e-11,2.2324590666677288e-10
1,win-2s_step-2s,2,baseline_eyes_closed,30,2.0,2.0,0.0,3,posterior_alpha_mean_psd,V^2/Hz,4.996080141546798e-10,3.955914593625926e-10,7.011636101393845e-10,3.0557215077679195e-10,0.6116237972959859,5.526681487982067e-10,2.391654222043394e-10,1.604935123900181e-10,2.506834348140777e-10,1.0064727283394156e-09,1.0632212692942622e-09
