rule_id,subject,run,condition,configuration_id,window_index,window_start_sec,window_end_sec,decision_time_sec,feature_name,feature_unit,raw_feature_value,smoothing_id,smoothed_available,smoothed_feature_value,threshold_id,threshold_value,evidence_state,dwell_updates,candidate_evidence_state,candidate_count,active_evidence_state,initial_command_confirmed,active_switch_confirmed,command_state
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,0,0.0,2.0,2.0,posterior_alpha_mean_psd,V^2/Hz,7.309492750606161e-11,smooth-none,True,7.309492750606161e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,LOW_ALPHA,1,LOW_ALPHA,True,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,1,1.0,3.0,3.0,posterior_alpha_mean_psd,V^2/Hz,2.842361454802004e-11,smooth-none,True,2.842361454802004e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,2,2.0,4.0,4.0,posterior_alpha_mean_psd,V^2/Hz,2.8152674949028582e-11,smooth-none,True,2.8152674949028582e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,3,3.0,5.0,5.0,posterior_alpha_mean_psd,V^2/Hz,1.590229267465739e-11,smooth-none,True,1.590229267465739e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,4,4.0,6.0,6.0,posterior_alpha_mean_psd,V^2/Hz,2.1689787465987362e-11,smooth-none,True,2.1689787465987362e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,5,5.0,7.0,7.0,posterior_alpha_mean_psd,V^2/Hz,2.6266339346213654e-11,smooth-none,True,2.6266339346213654e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,6,6.0,8.0,8.0,posterior_alpha_mean_psd,V^2/Hz,3.1123521575349794e-11,smooth-none,True,3.1123521575349794e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,7,7.0,9.0,9.0,posterior_alpha_mean_psd,V^2/Hz,2.7531517007287995e-11,smooth-none,True,2.7531517007287995e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,8,8.0,10.0,10.0,posterior_alpha_mean_psd,V^2/Hz,2.4401089793044623e-11,smooth-none,True,2.4401089793044623e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,9,9.0,11.0,11.0,posterior_alpha_mean_psd,V^2/Hz,3.217606603905354e-11,smooth-none,True,3.217606603905354e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,10,10.0,12.0,12.0,posterior_alpha_mean_psd,V^2/Hz,2.8729685946630585e-11,smooth-none,True,2.8729685946630585e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,11,11.0,13.0,13.0,posterior_alpha_mean_psd,V^2/Hz,3.913282319334165e-11,smooth-none,True,3.913282319334165e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,12,12.0,14.0,14.0,posterior_alpha_mean_psd,V^2/Hz,3.113363468015894e-11,smooth-none,True,3.113363468015894e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,13,13.0,15.0,15.0,posterior_alpha_mean_psd,V^2/Hz,6.312923015250507e-11,smooth-none,True,6.312923015250507e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,14,14.0,16.0,16.0,posterior_alpha_mean_psd,V^2/Hz,3.252209914943961e-11,smooth-none,True,3.252209914943961e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,15,15.0,17.0,17.0,posterior_alpha_mean_psd,V^2/Hz,4.6172086432683046e-11,smooth-none,True,4.6172086432683046e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,16,16.0,18.0,18.0,posterior_alpha_mean_psd,V^2/Hz,5.304498565775396e-11,smooth-none,True,5.304498565775396e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,17,17.0,19.0,19.0,posterior_alpha_mean_psd,V^2/Hz,3.8094308589888325e-11,smooth-none,True,3.8094308589888325e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,18,18.0,20.0,20.0,posterior_alpha_mean_psd,V^2/Hz,4.6590219490905115e-11,smooth-none,True,4.6590219490905115e-11,threshold_eo_q95,8.270509057516904e-11,LOW_ALPHA,1,,0,LOW_ALPHA,False,False,CMD_OPEN
