rule_id,subject,run,condition,configuration_id,feature_name,feature_unit,smoothing_id,threshold_id,threshold_value,dwell_updates,nominal_confirmation_span_sec,run_start_time_sec,run_end_time_sec,decision_update_count,first_decision_time_sec,last_decision_time_sec,unavailable_evidence_count,first_processed_feature_time_sec,initial_stop_update_count,initial_stop_duration_sec,first_active_command_time_sec,first_active_command,final_command_state,low_evidence_count,high_evidence_count,cmd_stop_count,cmd_open_count,cmd_close_count,active_switch_count,active_switch_times_sec,unconfirmed_candidate_update_count,unconfirmed_candidate_times_sec,command_episode_count,active_command_episode_count,short_active_episode_max_duration_sec,short_active_command_episode_count,shortest_active_episode_duration_sec,longest_active_episode_duration_sec
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,0.0,0.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_OPEN,CMD_OPEN,56,3,0,56,3,4,26.0;27.0;47.0;49.0,0,,6,5,2.0,2,1.0,24.0
thr-eo-q95__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,0.0,0.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_CLOSE,CMD_CLOSE,0,59,0,0,59,0,,0,,2,1,2.0,0,58.0,58.0
thr-gap-mid__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,0.0,0.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_OPEN,CMD_OPEN,58,1,0,58,1,2,26.0;27.0,0,,4,3,2.0,1,1.0,33.0
thr-gap-mid__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,0.0,0.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_CLOSE,CMD_CLOSE,0,59,0,0,59,0,,0,,2,1,2.0,0,58.0,58.0
thr-ec-q05__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,0.0,0.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_OPEN,CMD_OPEN,59,0,0,59,0,0,,0,,2,1,2.0,0,58.0,58.0
thr-ec-q05__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,0.0,0.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_CLOSE,CMD_CLOSE,3,56,0,3,56,4,6.0;8.0;39.0;40.0,0,,6,5,2.0,2,1.0,31.0
thr-gap-mid__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,2,1.0,0.0,60.0,59,2.0,60.0,0,2.0,1,3.0,3.0,CMD_OPEN,CMD_OPEN,58,1,1,58,0,0,,1,26.0,2,1,2.0,0,57.0,57.0
thr-gap-mid__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,2,1.0,0.0,60.0,59,2.0,60.0,0,2.0,1,3.0,3.0,CMD_CLOSE,CMD_CLOSE,0,59,1,0,58,0,,0,,2,1,2.0,0,57.0,57.0
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,3,2.0,0.0,60.0,59,2.0,60.0,0,2.0,2,4.0,4.0,CMD_OPEN,CMD_OPEN,58,1,2,57,0,0,,1,26.0,2,1,2.0,0,56.0,56.0
thr-gap-mid__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,3,2.0,0.0,60.0,59,2.0,60.0,0,2.0,2,4.0,4.0,CMD_CLOSE,CMD_CLOSE,0,59,2,0,57,0,,0,,2,1,2.0,0,56.0,56.0
