host_time_iso,host_elapsed_ms,case_id,command_seq,direction,raw_message,message_type,command,result,actuator_mode,commanded_angle_deg,note
2026-08-02T12:15:00.756+09:00,2078.0,V02,0,RX,"READY,S18_V0.1,STOP,90",READY,,,STOP,90,protocol_version=S18_V0.1
2026-08-02T12:15:00.758+09:00,2093.0,V09,1,TX,INVALID,COMMAND,INVALID,,,,
2026-08-02T12:15:00.796+09:00,2125.0,V09,1,RX,"ERR,INVALID_COMMAND,STOP,90",ERR,,INVALID_COMMAND,STOP,90,
2026-08-02T12:15:00.797+09:00,2125.0,V09,2,TX,STOP,COMMAND,STOP,,,,
2026-08-02T12:15:00.832+09:00,2156.0,V09,2,RX,"ACK,STOP,DUPLICATE,STOP,90",ACK,STOP,DUPLICATE,STOP,90,
2026-08-02T12:15:00.832+09:00,2156.0,V06,3,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T12:15:00.875+09:00,2203.0,V06,3,RX,"ACK,CLOSE,APPLIED,CLOSE,90",ACK,CLOSE,APPLIED,CLOSE,90,
2026-08-02T12:15:01.827+09:00,3156.0,V06,4,TX,STOP,COMMAND,STOP,,,,
2026-08-02T12:15:01.861+09:00,3187.0,V06,4,RX,"ACK,STOP,APPLIED,STOP,60",ACK,STOP,APPLIED,STOP,60,
2026-08-02T12:15:01.862+09:00,3187.0,V06,5,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T12:15:01.894+09:00,3218.0,V06,5,RX,"ACK,OPEN,APPLIED,OPEN,60",ACK,OPEN,APPLIED,OPEN,60,
2026-08-02T12:15:02.696+09:00,4031.0,V06,6,TX,STOP,COMMAND,STOP,,,,
2026-08-02T12:15:02.729+09:00,4062.0,V06,6,RX,"ACK,STOP,APPLIED,STOP,94",ACK,STOP,APPLIED,STOP,94,
2026-08-02T12:15:03.230+09:00,4562.0,V06,7,TX,STOP,COMMAND,STOP,,,,
2026-08-02T12:15:03.266+09:00,4593.0,V06,7,RX,"ACK,STOP,DUPLICATE,STOP,94",ACK,STOP,DUPLICATE,STOP,94,
2026-08-02T12:15:03.268+09:00,4593.0,V08,8,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T12:15:03.301+09:00,4625.0,V08,8,RX,"ACK,OPEN,APPLIED,OPEN,94",ACK,OPEN,APPLIED,OPEN,94,
2026-08-02T12:15:04.152+09:00,5484.0,V08,9,TX,STOP,COMMAND,STOP,,,,
2026-08-02T12:15:04.186+09:00,5515.0,V08,9,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T12:15:04.186+09:00,5515.0,V08,10,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T12:15:04.223+09:00,5547.0,V08,10,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T12:15:05.125+09:00,6453.0,V08,11,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T12:15:05.159+09:00,6484.0,V08,11,RX,"ACK,OPEN,REVERSED,OPEN,82",ACK,OPEN,REVERSED,OPEN,82,
2026-08-02T12:15:06.060+09:00,7390.0,V08,12,TX,STOP,COMMAND,STOP,,,,
2026-08-02T12:15:06.094+09:00,7422.0,V08,12,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T12:15:06.094+09:00,7422.0,V10-OPEN,13,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T12:15:06.131+09:00,7468.0,V10-OPEN,13,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T12:15:07.834+09:00,9156.0,V10-OPEN,14,TX,STOP,COMMAND,STOP,,,,
2026-08-02T12:15:07.867+09:00,9203.0,V10-OPEN,14,RX,"ACK,STOP,APPLIED,STOP,60",ACK,STOP,APPLIED,STOP,60,
2026-08-02T12:15:07.868+09:00,9203.0,V10-OPEN,15,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T12:15:07.900+09:00,9234.0,V10-OPEN,15,RX,"ACK,OPEN,APPLIED,OPEN,60",ACK,OPEN,APPLIED,OPEN,60,
2026-08-02T12:15:09.602+09:00,10937.0,V10-OPEN,16,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T12:15:09.641+09:00,10968.0,V10-OPEN,16,RX,"ACK,OPEN,DUPLICATE,OPEN,120",ACK,OPEN,DUPLICATE,OPEN,120,
2026-08-02T12:15:09.642+09:00,10968.0,V10-CLOSE,17,TX,STOP,COMMAND,STOP,,,,
2026-08-02T12:15:09.676+09:00,11000.0,V10-CLOSE,17,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T12:15:09.676+09:00,11000.0,V10-CLOSE,18,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T12:15:09.716+09:00,11047.0,V10-CLOSE,18,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T12:15:11.417+09:00,12750.0,V10-CLOSE,19,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T12:15:11.454+09:00,12781.0,V10-CLOSE,19,RX,"ACK,CLOSE,DUPLICATE,CLOSE,60",ACK,CLOSE,DUPLICATE,CLOSE,60,
