host_time_iso,host_elapsed_ms,case_id,command_seq,direction,raw_message,message_type,command,result,actuator_mode,commanded_angle_deg,note
2026-08-02T11:51:38.781+09:00,2078.0,V02,0,RX,"READY,S18_V0.1,STOP,90",READY,,,STOP,90,protocol_version=S18_V0.1
2026-08-02T11:51:38.782+09:00,2078.0,V09,1,TX,INVALID,COMMAND,INVALID,,,,
2026-08-02T11:51:38.820+09:00,2125.0,V09,1,RX,"ERR,INVALID_COMMAND,STOP,90",ERR,,INVALID_COMMAND,STOP,90,
2026-08-02T11:51:38.821+09:00,2125.0,V09,2,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:51:38.856+09:00,2156.0,V09,2,RX,"ACK,STOP,DUPLICATE,STOP,90",ACK,STOP,DUPLICATE,STOP,90,
2026-08-02T11:51:38.857+09:00,2156.0,V06,3,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:51:38.895+09:00,2187.0,V06,3,RX,"ACK,CLOSE,APPLIED,CLOSE,90",ACK,CLOSE,APPLIED,CLOSE,90,
2026-08-02T11:51:39.847+09:00,3141.0,V06,4,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:51:39.881+09:00,3172.0,V06,4,RX,"ACK,STOP,APPLIED,STOP,60",ACK,STOP,APPLIED,STOP,60,
2026-08-02T11:51:39.882+09:00,3187.0,V06,5,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:51:39.914+09:00,3219.0,V06,5,RX,"ACK,OPEN,APPLIED,OPEN,60",ACK,OPEN,APPLIED,OPEN,60,
2026-08-02T11:51:40.716+09:00,4016.0,V06,6,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:51:40.749+09:00,4047.0,V06,6,RX,"ACK,STOP,APPLIED,STOP,94",ACK,STOP,APPLIED,STOP,94,
2026-08-02T11:51:41.251+09:00,4547.0,V06,7,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:51:41.286+09:00,4578.0,V06,7,RX,"ACK,STOP,DUPLICATE,STOP,94",ACK,STOP,DUPLICATE,STOP,94,
2026-08-02T11:51:41.286+09:00,4578.0,V08,8,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:51:41.319+09:00,4625.0,V08,8,RX,"ACK,OPEN,APPLIED,OPEN,94",ACK,OPEN,APPLIED,OPEN,94,
2026-08-02T11:51:42.172+09:00,5469.0,V08,9,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:51:42.205+09:00,5500.0,V08,9,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T11:51:42.205+09:00,5500.0,V08,10,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:51:42.243+09:00,5547.0,V08,10,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T11:51:43.145+09:00,6437.0,V08,11,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:51:43.178+09:00,6469.0,V08,11,RX,"ACK,OPEN,REVERSED,OPEN,82",ACK,OPEN,REVERSED,OPEN,82,
2026-08-02T11:51:44.080+09:00,7375.0,V08,12,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:51:44.115+09:00,7406.0,V08,12,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T11:51:44.117+09:00,7406.0,V10-OPEN,13,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:51:44.153+09:00,7453.0,V10-OPEN,13,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T11:51:45.854+09:00,9156.0,V10-OPEN,14,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:51:45.889+09:00,9187.0,V10-OPEN,14,RX,"ACK,STOP,APPLIED,STOP,60",ACK,STOP,APPLIED,STOP,60,
2026-08-02T11:51:45.893+09:00,9187.0,V10-OPEN,15,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:51:45.922+09:00,9219.0,V10-OPEN,15,RX,"ACK,OPEN,APPLIED,OPEN,60",ACK,OPEN,APPLIED,OPEN,60,
2026-08-02T11:51:47.623+09:00,10922.0,V10-OPEN,16,TX,OPEN,COMMAND,OPEN,,,,
2026-08-02T11:51:47.658+09:00,10953.0,V10-OPEN,16,RX,"ACK,OPEN,DUPLICATE,OPEN,120",ACK,OPEN,DUPLICATE,OPEN,120,
2026-08-02T11:51:47.659+09:00,10953.0,V10-CLOSE,17,TX,STOP,COMMAND,STOP,,,,
2026-08-02T11:51:47.694+09:00,10984.0,V10-CLOSE,17,RX,"ACK,STOP,APPLIED,STOP,120",ACK,STOP,APPLIED,STOP,120,
2026-08-02T11:51:47.695+09:00,11000.0,V10-CLOSE,18,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:51:47.731+09:00,11031.0,V10-CLOSE,18,RX,"ACK,CLOSE,APPLIED,CLOSE,120",ACK,CLOSE,APPLIED,CLOSE,120,
2026-08-02T11:51:49.433+09:00,12734.0,V10-CLOSE,19,TX,CLOSE,COMMAND,CLOSE,,,,
2026-08-02T11:51:49.470+09:00,12766.0,V10-CLOSE,19,RX,"ACK,CLOSE,DUPLICATE,CLOSE,60",ACK,CLOSE,DUPLICATE,CLOSE,60,
