subject,run,condition,configuration_id,feature_name,feature_unit,difference_index,from_window_index,to_window_index,from_window_start_sec,from_window_end_sec,to_window_start_sec,to_window_end_sec,difference_time_sec,from_feature_value,to_feature_value,successive_difference,absolute_successive_difference,mean_successive_difference,centered_successive_difference,squared_deviation_from_mean,variance_contribution_fraction,variance_contribution_percent,absolute_difference_rank,variance_contribution_rank,selected_event_change,selected_event_relation
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,0,0,1,0.0,2.0,1.0,3.0,3.0,7.309492750606161e-11,2.842361454802004e-11,-4.4671312958041575e-11,4.4671312958041575e-11,-2.527278174463104e-13,-4.4418585140595266e-11,1.9730107058923105e-21,0.022012894554249145,2.2012894554249143,3,3,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,1,1,2,1.0,3.0,2.0,4.0,4.0,2.842361454802004e-11,2.8152674949028582e-11,-2.7093959899145905e-13,2.7093959899145905e-13,-2.527278174463104e-13,-1.8211781545148633e-14,3.3166898704821634e-28,3.700433260196161e-09,3.700433260196161e-07,58,58,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,2,2,3,2.0,4.0,3.0,5.0,5.0,2.8152674949028582e-11,1.590229267465739e-11,-1.2250382274371192e-11,1.2250382274371192e-11,-2.527278174463104e-13,-1.1997654456924882e-11,1.4394371246776948e-22,0.0016059810293158718,0.1605981029315872,24,25,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,3,3,4,3.0,5.0,4.0,6.0,6.0,1.590229267465739e-11,2.1689787465987362e-11,5.787494791329973e-12,5.787494791329973e-12,-2.527278174463104e-13,6.040222608776283e-12,3.648428916357217e-23,0.00040705547508989773,0.040705547508989776,38,38,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,4,4,5,4.0,6.0,5.0,7.0,7.0,2.1689787465987362e-11,2.6266339346213654e-11,4.576551880226291e-12,4.576551880226291e-12,-2.527278174463104e-13,4.829279697672602e-12,2.3321942398352776e-23,0.00026020307810901115,0.026020307810901117,41,41,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,5,5,6,5.0,7.0,6.0,8.0,8.0,2.6266339346213654e-11,3.1123521575349794e-11,4.85718222913614e-12,4.85718222913614e-12,-2.527278174463104e-13,5.10991004658245e-12,2.611118068416426e-23,0.0002913226296091002,0.02913226296091002,40,40,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,6,6,7,6.0,8.0,7.0,9.0,9.0,3.1123521575349794e-11,2.7531517007287995e-11,-3.5920045680617983e-12,3.5920045680617983e-12,-2.527278174463104e-13,-3.339276750615488e-12,1.1150769217201131e-23,0.00012440921189325435,0.012440921189325434,45,45,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,7,7,8,7.0,9.0,8.0,10.0,10.0,2.7531517007287995e-11,2.4401089793044623e-11,-3.1304272142433724e-12,3.1304272142433724e-12,-2.527278174463104e-13,-2.877699396797062e-12,8.281153818326175e-24,9.23928923679553e-05,0.00923928923679553,47,49,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,8,8,9,8.0,10.0,9.0,11.0,11.0,2.4401089793044623e-11,3.217606603905354e-11,7.774976246008916e-12,7.774976246008916e-12,-2.527278174463104e-13,8.027704063455227e-12,6.444403253041555e-23,0.0007190025317683544,0.07190025317683545,32,31,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,9,9,10,9.0,11.0,10.0,12.0,12.0,3.217606603905354e-11,2.8729685946630585e-11,-3.446380092422954e-12,3.446380092422954e-12,-2.527278174463104e-13,-3.1936522749766434e-12,1.019941485346349e-23,0.00011379494445408692,0.011379494445408691,46,46,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,10,10,11,10.0,12.0,11.0,13.0,13.0,2.8729685946630585e-11,3.913282319334165e-11,1.0403137246711063e-11,1.0403137246711063e-11,-2.527278174463104e-13,1.0655865064157373e-11,1.1354746026552962e-22,0.0012668498261379048,0.1266849826137905,26,26,False,other
