subject,run,condition,configuration_id,window_length_sec,step_size_sec,outer_window_overlap_fraction,welch_segment_count,feature_name,feature_unit,n_features,n_differences,feature_median,mean_successive_difference,successive_difference_sd_population,median_absolute_successive_change,mssd,rms_squared,nmssd,normalized_median_absolute_successive_change,comparison_role
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,posterior_alpha_mean_psd,V^2/Hz,60,59,3.428994952974755e-11,-2.018213928955739e-12,3.0273483515445214e-11,1.475723768905724e-11,9.205569916229642e-22,2.5302772413095857e-21,0.3638166508372478,0.4303662703339618,primary_common_step_1s
1,2,baseline_eyes_closed,win-1s_step-1s,1.0,1.0,0.0,1,posterior_alpha_mean_psd,V^2/Hz,60,59,4.449659200542434e-10,-5.966588272020453e-12,3.9433830421877113e-10,2.0645751583822805e-10,1.5553829834974392e-19,3.6984975866528944e-19,0.4205445446579421,0.4639850076901618,primary_common_step_1s
1,1,baseline_eyes_open,win-2s_step-0p5s,2.0,0.5,0.75,3,posterior_alpha_mean_psd,V^2/Hz,117,116,4.013248301385884e-11,-1.263639087231552e-13,2.8261105398620243e-11,6.728008988587218e-12,7.987060461893499e-22,3.3151634465588122e-21,0.24092508832963225,0.1676449719361708,descriptive_cross_step
1,2,baseline_eyes_closed,win-2s_step-0p5s,2.0,0.5,0.75,3,posterior_alpha_mean_psd,V^2/Hz,117,116,5.038257003548005e-10,5.134569248051811e-12,1.7847373569297828e-10,9.471207795135051e-11,3.1879238133570113e-20,3.8380767796917387e-19,0.083060449187081,0.18798580120992847,descriptive_cross_step
1,1,baseline_eyes_open,win-2s_step-1s,2.0,1.0,0.5,3,posterior_alpha_mean_psd,V^2/Hz,59,58,3.996241005951425e-11,-2.527278174463104e-13,3.9310824025138286e-11,8.66366461510618e-12,1.5454047568851006e-21,2.8492140117844352e-21,0.5423968682216428,0.2167953484838319,primary_common_step_1s
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,posterior_alpha_mean_psd,V^2/Hz,59,58,5.038257003548005e-10,1.0269138496103615e-11,2.6291279778362387e-10,1.8688128356571562e-10,6.922859444386487e-20,3.6589971704203646e-19,0.18920100568405612,0.37092447533762457,primary_common_step_1s
1,1,baseline_eyes_open,win-2s_step-2s,2.0,2.0,0.0,3,posterior_alpha_mean_psd,V^2/Hz,30,29,4.11183600370999e-11,-5.054556348926208e-13,5.0656923325260823e-11,1.2197141324978445e-11,2.566379366180199e-21,3.897624083435113e-21,0.6584471234892305,0.2966349171993562,descriptive_cross_step
1,2,baseline_eyes_closed,win-2s_step-2s,2.0,2.0,0.0,3,posterior_alpha_mean_psd,V^2/Hz,30,29,4.996080141546798e-10,2.0538276992207236e-11,2.4285393945602676e-10,1.4449752076136297e-10,5.939985673112016e-20,3.6264218187421666e-19,0.16379742815391274,0.28922178321308156,descriptive_cross_step
1,1,baseline_eyes_open,win-4s_step-1s,4.0,1.0,0.75,7,posterior_alpha_mean_psd,V^2/Hz,57,56,4.2261100242696245e-11,3.271544538846736e-14,1.710556534961309e-11,4.0346469455348114e-12,2.92601436230251e-22,2.5861126892984492e-21,0.11314334345949434,0.09546951977976714,primary_common_step_1s
1,2,baseline_eyes_closed,win-4s_step-1s,4.0,1.0,0.75,7,posterior_alpha_mean_psd,V^2/Hz,57,56,5.268976032721633e-10,9.046832402876074e-12,1.064878594260501e-10,6.157509213479502e-11,1.1421509381667936e-20,3.4136845930065296e-19,0.03345801016610233,0.11686348875454851,primary_common_step_1s
