rule_id,subject,run,condition,configuration_id,feature_name,feature_unit,smoothing_id,threshold_id,threshold_value,dwell_updates,episode_index,command_state,episode_start_time_sec,episode_end_time_sec,episode_duration_sec,decision_update_count,first_window_index,last_window_index,first_decision_time_sec,last_decision_time_sec,start_event,end_event,is_initial_stop_episode,ended_at_run_boundary
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,0,CMD_STOP,0.0,2.0,2.0,0,,,,,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,1,CMD_OPEN,2.0,26.0,24.0,24,0,23,2.0,25.0,initial_command_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,2,CMD_CLOSE,26.0,27.0,1.0,1,24,24,26.0,26.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,3,CMD_OPEN,27.0,47.0,20.0,20,25,44,27.0,46.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,4,CMD_CLOSE,47.0,49.0,2.0,2,45,46,47.0,48.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,5,CMD_OPEN,49.0,60.0,11.0,12,47,58,49.0,60.0,active_switch_confirmed,run_end,False,True
thr-eo-q95__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,0,CMD_STOP,0.0,2.0,2.0,0,,,,,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,1,1,CMD_CLOSE,2.0,60.0,58.0,59,0,58,2.0,60.0,initial_command_confirmed,run_end,False,True
thr-eo-q95__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,2,0,CMD_STOP,0.0,3.0,3.0,1,0,0,2.0,2.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,2,1,CMD_OPEN,3.0,48.0,45.0,45,1,45,3.0,47.0,initial_command_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,2,2,CMD_CLOSE,48.0,50.0,2.0,2,46,47,48.0,49.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,2,3,CMD_OPEN,50.0,60.0,10.0,11,48,58,50.0,60.0,active_switch_confirmed,run_end,False,True
thr-eo-q95__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,2,0,CMD_STOP,0.0,3.0,3.0,1,0,0,2.0,2.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,2,1,CMD_CLOSE,3.0,60.0,57.0,58,1,58,3.0,60.0,initial_command_confirmed,run_end,False,True
thr-eo-q95__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,3,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,3,1,CMD_OPEN,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-eo-q95__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,3,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_eo_q95,8.270509057516904e-11,3,1,CMD_CLOSE,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-eo-q95__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,1,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,1,1,CMD_OPEN,4.0,48.0,44.0,44,2,45,4.0,47.0,initial_command_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,1,2,CMD_CLOSE,48.0,50.0,2.0,2,46,47,48.0,49.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,1,3,CMD_OPEN,50.0,60.0,10.0,11,48,58,50.0,60.0,active_switch_confirmed,run_end,False,True
thr-eo-q95__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,1,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,1,1,CMD_CLOSE,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-eo-q95__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,2,0,CMD_STOP,0.0,5.0,5.0,3,0,2,2.0,4.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,2,1,CMD_OPEN,5.0,49.0,44.0,44,3,46,5.0,48.0,initial_command_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,2,2,CMD_CLOSE,49.0,51.0,2.0,2,47,48,49.0,50.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-eo-q95__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,2,3,CMD_OPEN,51.0,60.0,9.0,10,49,58,51.0,60.0,active_switch_confirmed,run_end,False,True
thr-eo-q95__smooth-median3__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,2,0,CMD_STOP,0.0,5.0,5.0,3,0,2,2.0,4.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-median3__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,2,1,CMD_CLOSE,5.0,60.0,55.0,56,3,58,5.0,60.0,initial_command_confirmed,run_end,False,True
thr-eo-q95__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,3,0,CMD_STOP,0.0,6.0,6.0,4,0,3,2.0,5.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,3,1,CMD_OPEN,6.0,60.0,54.0,55,4,58,6.0,60.0,initial_command_confirmed,run_end,False,True
